parcela,real_mean,model_mean,real_pos,model_pos,real_pos_date,model_pos_date,real_min,model_min,sos_modelo,sos_real,eos_modelo,eos_real,season_length_modelo,season_length_real
1,0.7799850690636229,0.8839172503333333,2.381692199605239,2.834979671,2024-02-05,2024-04-10,0.1136788451618784,0.2110326662,2023-06-27,2023-09-28,2024-04-10,2024-04-10,288,195
10,1.693187873732522,1.7097200395333336,2.6396386630660165,2.3084224136000007,2023-10-18,2023-10-09,0.1574002373497758,0.0723348222,2023-03-09,2023-03-12,2024-03-16,2024-03-16,373,370
11,1.8716134316562443,1.8903816218333334,3.118906622389838,2.6774094070000003,2023-09-08,2023-10-01,0.150176036065729,-0.1520616125,2023-03-16,2023-03-12,2024-03-16,2024-03-16,366,370
13,1.1788387247264185,1.2240892459666666,2.0198868367094467,1.6991796571,2023-10-18,2023-10-06,0.1697862759568338,0.1196938803,2023-03-08,2023-03-12,2024-04-15,2024-04-15,404,400
14,1.1516154989398502,1.1671046848666666,3.574391491046547,3.4134644247,2024-07-14,2024-07-14,0.109245874867207,-0.0640906263,2023-07-08,2023-09-18,2024-07-14,2024-07-14,372,300
15,1.4239043287564033,1.5166120621833332,2.3051371817518804,2.0731595781000003,2023-10-18,2023-10-23,0.1448815112482122,0.0363878706,2023-03-22,2023-04-11,2024-04-10,2024-04-10,385,365
16,0.6848934957107866,0.6847577534,1.568429017294802,1.4371060409,2024-02-20,2024-04-15,0.1898672511677456,0.0293912759,2023-06-05,2023-05-16,2024-04-15,2024-04-15,315,335
2,1.2964159370720587,1.3332280333999995,2.1813171324405065,1.7844776033999998,2023-10-18,2023-10-18,0.1434969973675023,0.0318484394,2023-03-23,2023-03-27,2024-03-06,2024-03-06,349,345
3,1.3108049924907714,1.3982803256500003,2.679606182391049,2.0640527948,2023-10-28,2023-09-22,0.2267759425155298,-0.0426031036,2024-03-31,2023-03-02,2024-03-31,2024-03-31,0,395
4,1.1737050583490591,1.2471197817999997,2.382510736612701,1.7453034192,2023-10-18,2023-10-07,0.2087818495760223,-0.0362403942,2023-03-04,2023-02-15,2024-04-10,2024-04-10,403,420
5,1.586100649457527,1.89199106445,3.4422800913036906,2.8600038245,2023-10-18,2023-11-03,0.2209066761640593,-0.4454381293,2023-05-21,2023-05-01,2024-04-10,2024-04-10,325,345
6,1.0605218617293686,1.25197164975,2.554774966297831,2.8029084770000003,2024-07-14,2024-07-14,0.1564030353791506,-0.0708942715,2023-06-27,2023-05-16,2024-07-14,2024-07-14,383,425
7,1.687198209021876,1.7141387905000003,2.8733939122845227,2.385317732,2023-10-18,2023-10-17,0.2094079208530589,-0.049778729,2023-03-15,2023-03-07,2024-04-10,2024-04-10,392,400
8,1.8126142692361644,1.9833733853166666,3.590029573385921,2.968222996,2023-09-18,2023-11-09,0.2158448463064979,-0.4203757266,2023-05-29,2023-05-16,2024-04-10,2024-04-10,317,330
9,1.314585785235491,1.4726185640833336,2.5145810201451164,2.1370339551000006,2024-04-05,2024-02-28,0.1985827271202995,-0.5018025705,2023-09-12,2023-08-29,2024-06-14,2024-06-14,276,290
