parcela,ndvi_max,ndvi_mean,ndvi_max_date,gndvi_max,gndvi_mean,gndvi_max_date,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento
1,0.648370093,0.48869980199999996,2022-10-25,0.5688259895,0.46923447349999997,2022-10-25,1.5047217559,1.0111742286999998,0.3641819782000001,0.2524662344,1.0786853842000002,712.7800000000001,1303.3578457520716,48
10,0.7965685909,0.6295783215333333,2022-10-05,0.6600610961,0.5682260821999999,2022-10-04,2.5858456834,1.78172892095,0.4991195364000001,0.36583675325,0.739835725166667,658.1800000000001,1416.6939894010095,75
11,0.8109556015,0.6410295244,2022-10-02,0.6749039001000001,0.5717974066833333,2022-09-30,2.7319613357,1.88613820345,0.5113111201000001,0.3768201187833333,0.7104499832666665,658.1800000000001,1440.5427159696123,75
13,0.6673009887000001,0.5330805696,2022-11-11,0.5558404663,0.47366437204999995,2022-11-24,1.3487218845,1.02690625375,0.3558612817999999,0.27340288009999997,0.89737732925,650.7,1062.8501234554947,30
14,0.702577271,0.53973553405,2022-11-20,0.6028711328,0.49945605375,2022-11-28,1.9100636777000004,1.33957426315,0.4154640141,0.3005286843,0.8979640036500002,657.6500000000001,1310.3722971827071,50
15,0.7569035675000002,0.5968965338666666,2022-11-29,0.6229690473,0.5248960343833333,2022-11-27,2.0715378080999995,1.5073800779333333,0.4542182452,0.34241653206666667,0.7815673047666667,599.52,1143.9373777574879,60
16,0.6113561883,0.4977411278666668,2022-11-18,0.5461310732,0.4674604055333334,2022-11-25,1.1949556293,0.9159517663999999,0.3225853254,0.25084408539999997,1.0515285609666667,610.5300000000001,1004.0527088196651,25
2,0.7814160199,0.6149889014166666,2022-11-21,0.6464411501,0.5393527472,2022-11-19,2.2300227026999995,1.6155303169666668,0.4731859887000001,0.35509455028333337,0.7896924809666667,606.51,1174.8399830847738,60
3,0.6760044499000001,0.5632024659666667,2022-10-12,0.5737940206999999,0.5055414353666666,2022-10-19,1.6482823350999998,1.2442699943,0.3879977081,0.3046661365,0.8473571705000001,654.37,1293.8985297689728,45
4,0.7428678640999999,0.5756661115999999,2022-11-27,0.6309486825999999,0.5122323565,2023-01-19,2.2829568271,1.5247764448499999,0.4569679956999999,0.33225559609999994,0.8731383512499999,648.1199999999999,1184.0967000722273,50
5,0.7790919170999999,0.598963316,2022-11-06,0.6658653721,0.5385354718,2022-11-06,2.2929807504,1.5559051939000001,0.472664607,0.3391295660000001,0.8237343927999998,712.72,1419.680197957518,75
6,0.7702665737000002,0.6019090905000001,2022-12-09,0.6558254893,0.5442567331666667,2022-12-05,2.2651133684,1.5773511669666669,0.4653690237,0.3426554028666666,0.8160112791666666,657.7,1226.332726493842,75
7,0.7961441643,0.6136784944333333,2022-10-16,0.6673902325000001,0.5555248351666667,2022-10-13,2.6522001386000005,1.7925693138666667,0.4999610426,0.3588689925999999,0.7854714486000002,665.44,1432.1193386555697,75
8,0.7497140971,0.58688256435,2022-12-07,0.6442860628,0.5317693952,2022-12-04,2.2020109542999995,1.5071299676,0.4464650021999999,0.32864978260000005,0.82218212,657.21,1179.0527954227955,75
9,0.7653320659,0.5911887998500001,2022-12-08,0.6581450295,0.5367363752500001,2022-12-08,2.2551884611,1.49886251435,0.4601426509,0.33237605545000004,0.8088699111999998,657.21,1181.5041141732177,75
